Test Result UID,Sample Name,Sample Type,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,URL,Aromas,Flavors,Effects
,White Buffalo,"Flower, Inhalable",,,,,,0.0,0.006999999999999999,0.02,0.0,0.0,0.0,0.0,0.08800000000000001,0.0,0.0,0.048,0.107,0.03,0.0,0.409,0.23,,0.06,0.198,0.0,0.0,,0.38,0.0,18.02,0.0,0.0,0.04,0.0,0.0,0.0,1.07,0.04,0.01,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/white-buffalo,"['Earthy', 'Fruity', 'Herbal', 'Pepper', 'Sweet']","['Berry', 'Herbal', 'Mint', 'Pine', 'Spicy', 'Sweet']","['Creative', 'Energizing', 'Euphoria', 'Giggly', 'Happy']"
,Blueberry Muffin,"Concentrate, Inhalable",,,,,,0.0,0.0,0.172,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.252,0.07200000000000001,0.0,0.875,0.08199999999999999,,0.048,0.018000000000000002,0.0,0.0,,4.17,0.0,78.48,0.06,0.12,0.18,0.0,0.0,0.0,0.28,0.33,0.16,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/blueberry-muffin,"['Berry', 'Earthy', 'Nutty', 'Sweet']","['Blueberry', 'Herbal', 'Nutty', 'Sweet', 'Vanilla']","['Body High', 'Focus', 'Happy', 'Relaxing']"
,Cookies n Cream,"Flower, Inhalable",,,,,,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.116,0.0,0.0,0.032,0.07200000000000001,0.022,0.0,0.18600000000000005,0.285,,0.041,0.237,0.0,0.0,,0.23,0.0,23.64,0.0,0.0,0.07,0.0,0.0,0.0,1.76,0.1,0.0,https://www.allbud.com/marijuana-strains/hybrid/cookies-n-cream,"['Earthy', 'Sweet', 'Vanilla']","['Nutty', 'Sweet', 'Vanilla']","['Happy', 'Relaxing', 'Uplifting']"
,Rainbow Sherbert,"Flower, Inhalable",,,,,,0.0,0.014,0.009000000000000001,0.0,0.0,0.0,0.0,0.138,0.037000000000000005,0.0,0.056,0.192,0.104,0.0,0.741,0.16399999999999998,,0.106,0.451,0.0,0.0,,0.88,0.0,21.74,0.0,0.0,0.05,0.0,0.0,0.0,0.22,0.02,0.02,https://www.allbud.com/marijuana-strains/hybrid/rainbow-sherbert,"['Berry', 'Earthy', 'Fruity', 'Sweet']","['Berry', 'Fruity', 'Sweet']","['Body High', 'Cerebral', 'Relaxing', 'Uplifting']"
,OGKB,"Flower, Inhalable",,,,,,0.0,0.011,0.013,0.0,0.0,0.0,0.0,0.166,0.0,0.008,0.093,0.28800000000000003,0.048,0.0,0.7859999999999999,0.722,,0.094,0.484,0.0,0.0,,0.74,0.0,29.59,0.0,0.0,0.1,0.0,0.0,0.0,1.5,0.05,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/ogkb,"['Earthy', 'Herbal', 'Nutty', 'Pungent', 'Spicy']","['Herbal', 'Nutty', 'Spicy', 'Vanilla']","['Body High', 'Happy', 'Relaxing', 'Sleepy', 'Uplifting']"
,White Girl,"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.059,0.124,0.0,0.0,0.455,1.07,,0.012,0.048,0.0,0.0,,1.07,0.0,19.51,0.0,0.0,0.06,0.0,0.0,0.0,0.9,0.15,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/white-girl,"['Berry', 'Earthy', 'Fruity', 'Pine', 'Skunky', 'Woody']","['Berry', 'Fruity', 'Pine', 'Sour', 'Sweet', 'Woody']","['Energizing', 'Euphoria', 'Focus', 'Motivation', 'Tingly', 'Uplifting']"
,Cookie OG,"Flower, Inhalable",,,,,,0.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.0,0.031,0.181,0.044,0.0,0.4320000000000001,0.514,,0.08800000000000001,0.426,0.0,0.0,,0.27,0.0,19.7,0.0,0.0,0.05,0.0,0.0,0.0,0.65,0.13,0.0,https://www.allbud.com/marijuana-strains/hybrid/cookie-og,"['Blueberry', 'Fruity', 'Grape', 'Herbal']","['Berry', 'Grape', 'Sweet']","['Euphoria', 'Happy', 'Relaxing', 'Uplifting']"
,Alien OG,"Flower, Inhalable",,,,,,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.117,0.046,0.0,0.34600000000000003,0.455,,0.08900000000000001,0.362,0.0,0.0,,0.91,0.0,22.02,0.0,0.0,0.05,0.0,0.0,0.0,0.59,0.12,0.0,https://www.allbud.com/marijuana-strains/hybrid/alien-og,"['Lemon', 'Pine', 'Pungent', 'Skunky']","['Lemon', 'Pine', 'Spicy', 'Sweet', 'Woody']","['Creative', 'Energizing', 'Euphoria', 'Focus', 'Happy', 'Relaxing']"
,Diablo,"Flower, Inhalable",,,,,,0.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.032,0.102,0.04,0.0,0.311,0.602,,0.081,0.36,0.0,0.0,,0.62,0.0,22.5,0.0,0.0,0.05,0.0,0.0,0.0,0.64,0.1,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/diablo,['Fruity'],"['Berry', 'Grapefruit', 'Herbal', 'Spicy', 'Sweet']","['Euphoria', 'Happy']"
,OG 18,"Flower, Inhalable",,,,,,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.272,0.0,0.0,0.012,0.055,0.035,0.0,0.126,0.246,,0.07400000000000001,0.439,0.0,0.0,,,,,,,,,,,,,,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/og-18,"['Diesel', 'Earthy', 'Kush', 'Skunky', 'Sour']","['Diesel', 'Pine', 'Sweet']","['Energizing', 'Euphoria', 'Happy']"
,Chocolate Kush,"Concentrate, Inhalable",,,,,,0.0,0.012,0.15,0.0,0.003,0.147,0.0,0.157,0.022,0.044,0.173,0.547,0.08,0.0,1.704,0.085,,0.107,0.339,0.0,0.0,,4.18,0.0,69.74,0.0,0.0,0.28,0.0,0.0,0.0,2.03,0.33,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/chocolate-kush,[],"['Coffee', 'Nutty', 'Sweet', 'Woody']","['Creative', 'Euphoria', 'Focus', 'Happy']"
,Malawi (136 NR),"Concentrate, Inhalable",,,,,,0.0,0.0,0.113,0.016,0.0,0.006,0.0,0.051,0.0,0.03,0.482,0.378,0.046,0.0,1.288,0.36,,0.056,0.115,0.0,0.0,,7.89,0.0,67.3,0.0,0.12,0.22,0.0,0.0,0.0,1.32,0.46,0.13,https://www.allbud.com/marijuana-strains/hybrid/malawi,"['Lemon', 'Woody']","['Sweet', 'Tea', 'Woody']","['Creative', 'Energizing', 'Euphoria', 'Focus', 'Happy']"
,Sour Sherbert,"Concentrate, Inhalable",,,,,,0.0,0.012,0.34,0.0,0.014,0.039,0.0,0.29,0.009000000000000001,0.032,0.499,1.248,0.171,0.0,3.2,0.728,,0.154,0.354,0.002,0.0,,8.05,0.0,63.09,0.0,0.08,0.19,0.0,0.0,0.0,1.63,0.29,0.13,https://www.allbud.com/marijuana-strains/hybrid/sour-sherbert,"['Citrus', 'Earthy', 'Fruity', 'Herbal', 'Mint', 'Sour']","['Citrus', 'Fruity', 'Herbal', 'Sour', 'Sweet']","['Cerebral', 'Creative', 'Euphoria', 'Happy', 'Relaxing', 'Uplifting']"
,Hindu Kush,"Concentrate, Inhalable",,,,,,0.0,0.0,0.071,0.0,0.0,0.023,0.0,0.14400000000000002,0.0,0.015,0.394,0.434,0.011,0.0,1.364,0.025,,0.017,0.07400000000000001,0.0,0.0,,8.19,0.0,72.4,0.0,0.08,0.32,0.0,0.0,0.0,1.56,0.27,0.24,https://www.allbud.com/marijuana-strains/indica/hindu-kush,"['Earthy', 'Fragrant', 'Pine', 'Sweet']","['Herbal', 'Lemon', 'Pine', 'Spicy', 'Sweet', 'Woody']","['Euphoria', 'Happy', 'Hungry', 'Relaxing', 'Sleepy']"
,Moonstone Kush,"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.026,0.063,0.014,0.0,0.172,0.8859999999999999,,0.036000000000000004,0.134,0.0,0.0,,0.82,0.0,24.05,0.0,0.0,0.08,0.0,0.0,0.0,0.45,0.11,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/moonstone-kush,"['Citrus', 'Earthy', 'Herbal', 'Pine', 'Sour', 'Woody']","['Citrus', 'Lemon', 'Pine', 'Sour', 'Sweet', 'Woody']","['Calming', 'Cerebral', 'Relaxing', 'Uplifting']"
,Titan OG,"Flower, Inhalable",,,,,,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.052000000000000005,0.146,0.043,0.0,0.446,0.629,,0.087,0.486,0.0,0.0,,0.65,0.0,20.3,0.0,0.0,0.04,0.0,0.0,0.0,0.45,0.1,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/titan-og,"['Citrus', 'Earthy', 'Herbal', 'Lemon', 'Sour', 'Spicy']","['Citrus', 'Herbal', 'Lemon', 'Pine', 'Sour', 'Woody']","['Body High', 'Calming', 'Creative', 'Relaxing', 'Sleepy']"
,Lemon Kush (RonT1),"Shatter, Concentrate, Inhalable",,,,,,0.0,0.0,0.05,0.0,0.015,0.106,0.0,0.011,0.006,0.0,0.21600000000000005,0.033,0.005,0.0,0.097,0.035,,0.003,0.004,0.0,0.0,,4.95,0.0,64.73,0.0,0.0,0.17,0.0,0.0,0.0,3.32,0.21,0.06,https://www.allbud.com/marijuana-strains/hybrid/lemon-kush,"['Earthy', 'Herbal', 'Kush', 'Lemon', 'Sweet']","['Citrus', 'Lemon', 'Spicy', 'Sweet']","['Creative', 'Energizing', 'Euphoria', 'Happy', 'Relaxing', 'Uplifting']"
,Mango,"Indica, Flower, Inhalable",,,,,,0.0,0.005,0.008,0.0,0.0,0.0,0.0,0.053,0.204,0.002,0.08,0.08900000000000001,0.08800000000000001,0.0,0.235,0.464,,0.054000000000000006,0.097,0.0,0.0,,0.73,0.0,18.66,0.0,0.0,0.06,0.0,0.0,0.0,1.58,0.13,0.0,https://www.allbud.com/marijuana-strains/hybrid/mango,[],"['Citrus', 'Fruity', 'Sweet', 'Tropical']","['Euphoria', 'Happy', 'Hungry']"
,24k Gold,"Flower, Inhalable",,,,,,0.0,0.011,0.003,0.0,0.001,0.0,0.0,0.075,0.001,0.006999999999999999,0.0,0.07400000000000001,0.045,0.0,0.192,1.5830000000000002,,0.091,0.493,0.0,0.0,,0.43,0.0,24.35,0.0,0.0,0.09,0.0,0.0,0.0,0.5,0.18,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/24k-gold,"['Citrus', 'Pungent', 'Skunky', 'Sour', 'Sweet']","['Citrus', 'Orange', 'Sweet']","['Euphoria', 'Happy', 'Relaxing', 'Sleepy']"
,Green Candy,"Flower, Inhalable",,,,,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.08900000000000001,0.22,0.003,0.07,0.078,0.058,0.0,0.195,0.511,,0.042,0.14800000000000002,0.0,0.0,,1.21,0.0,16.8,0.0,0.0,0.05,0.0,0.0,0.0,1.31,0.14,0.02,https://www.allbud.com/marijuana-strains/hybrid/green-candy,"['Earthy', 'Fruity', 'Pungent', 'Sweet']","['Buttery', 'Citrus', 'Fruity', 'Herbal', 'Pine', 'Spicy', 'Sweet', 'Tropical']","['Creative', 'Energizing', 'Euphoria', 'Happy', 'Sociable', 'Uplifting']"
,Gods Gift,"Flower, Inhalable",,,,,,0.0,0.003,0.009000000000000001,0.0,0.0,0.0,0.0,0.03,0.087,0.0,0.056,0.133,0.142,0.0,0.278,0.5329999999999999,,0.066,0.067,0.0,0.0,,0.95,0.0,15.54,0.0,0.0,0.05,0.0,0.0,0.0,0.42,0.03,0.01,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/gods-gift,"['Earthy', 'Grape', 'Spicy', 'Sweet']","['Berry', 'Citrus', 'Grape', 'Sweet', 'Woody']","['Euphoria', 'Happy', 'Relaxing', 'Sleepy']"
,Dawg Cookies,"Flower, Inhalable",,,,,,0.0,0.009000000000000001,0.006999999999999999,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.075,0.127,0.033,0.0,0.33,0.8220000000000001,,0.07,0.28300000000000003,0.0,0.0,,0.4,0.0,25.08,0.0,0.0,0.06,0.0,0.0,0.0,1.36,0.13,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/dawg-cookies,"['Earthy', 'Herbal', 'Nutty', 'Sweet']","['Chemical', 'Honey', 'Nutty', 'Sweet', 'Vanilla']","['Cerebral', 'Euphoria', 'Giggly', 'Happy', 'Hungry']"
,Triangle Kush,"Indica, Flower, Inhalable",,,,,,0.0,0.02,0.001,0.0,0.002,0.0,0.0,0.094,0.0,0.016,0.0,0.087,0.06,0.0,0.28800000000000003,0.4920000000000001,,0.096,0.4970000000000001,0.0,0.0,,0.77,0.0,23.77,0.0,0.0,0.05,0.0,0.0,0.01,1.08,0.12,0.01,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/triangle-kush,"['Earthy', 'Fuel', 'Lemon', 'Pine', 'Spicy']","['Citrus', 'Lemon', 'Spicy', 'Woody']","['Body High', 'Cerebral', 'Long Lasting', 'Relaxing', 'Uplifting']"
,Valley Girl,"Flower, Inhalable",,,,,,0.0,0.027000000000000003,0.0,0.0,0.014,0.0,0.0,0.223,0.0,0.025,0.0,0.061,0.073,0.0,0.191,0.361,,0.112,0.6609999999999999,0.0,0.0,,0.7,0.0,21.71,0.0,0.0,0.04,0.0,0.0,0.0,0.95,0.1,0.01,https://www.allbud.com/marijuana-strains/hybrid/valley-girl,"['Citrus', 'Earthy', 'Pine', 'Sweet', 'Woody']","['Citrus', 'Lemon', 'Pine', 'Sweet']","['Creative', 'Energizing', 'Euphoria', 'Happy', 'Relaxing', 'Sociable', 'Uplifting']"
,Shangri LA,"Flower, Inhalable",,,,,,0.0,0.012,0.003,0.0,0.01,0.0,0.0,0.095,0.002,0.009000000000000001,0.02,0.069,0.045,0.0,0.257,0.588,,0.092,0.563,0.0,0.0,,0.99,0.0,22.32,0.0,0.0,0.07,0.0,0.0,0.0,0.42,0.25,0.03,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/shangri-la,"['Citrus', 'Earthy', 'Floral', 'Skunky', 'Sweet']","['Berry', 'Skunky', 'Sweet', 'Tropical']","['Creative', 'Euphoria', 'Happy', 'Relaxing', 'Uplifting']"
,Super Kush,"Flower, Inhalable",,,,,,0.0,0.014,0.01,0.0,0.008,0.0,0.0,0.006,0.001,0.006999999999999999,0.047,0.107,0.056,0.0,0.348,0.336,,0.097,0.596,0.0,0.0,,1.19,0.0,24.04,0.0,0.0,0.07,0.0,0.0,0.0,0.41,0.14,0.0,https://www.allbud.com/marijuana-strains/hybrid/super-kush,"['Earthy', 'Floral', 'Pine']","['Citrus', 'Mint', 'Pine']","['Euphoria', 'Focus', 'Happy', 'Relaxing']"
,Afghan Diesel,"CO2 Oil, Concentrate, Inhalable",,,,,,0.0,0.06,0.084,0.0,0.0,0.0,0.0,1.045,0.031,0.075,0.8440000000000001,1.009,0.304,0.0,3.012,8.283999999999999,,0.503,3.484,0.0,0.0,,19.91,0.0,32.98,0.17,0.07,0.28,0.0,0.0,0.0,1.28,0.74,0.29,https://www.allbud.com/marijuana-strains/hybrid/afghan-diesel,"['Citrus', 'Fruity', 'Nutty', 'Pineapple']","['Citrus', 'Diesel', 'Grape', 'Grapefruit', 'Herbal', 'Spicy', 'Sweet']","['Creative', 'Energizing', 'Euphoria', 'Happy', 'Relaxing']"
,Sweet Jesus,"CO2 Oil, Concentrate, Inhalable",,,,,,0.0,0.047,0.28,0.0,0.0,1.372,0.0,0.894,6.716,0.316,0.14400000000000002,1.079,1.132,0.0,3.411,11.997,,0.568,2.05,0.0,0.0,,12.14,0.0,31.3,0.0,0.0,0.27,0.0,0.0,0.0,0.97,0.54,0.19,https://www.allbud.com/marijuana-strains/hybrid/sweet-jesus,"['Berry', 'Citrus', 'Herbal', 'Sour']","['Berry', 'Citrus', 'Fruity', 'Sour', 'Sweet']","['Calming', 'Cerebral', 'Energizing', 'Giggly', 'Relaxing']"
,Harlequin x GDP,"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.017,0.141,0.0,0.065,0.404,,0.052000000000000005,0.06,0.0,0.0,,0.36,0.05,5.78,0.0,0.0,7.52,0.23,0.0,0.03,0.37,0.03,0.01,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/harlequin-x-gdp,"['Berry', 'Earthy', 'Fruity', 'Herbal', 'Musky']","['Berry', 'Fruity', 'Grape', 'Sweet']","['Euphoria', 'Happy', 'Relaxing', 'Uplifting']"
,Mango Haze,"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.035,0.361,0.0,0.101,0.643,,0.14400000000000002,0.075,0.0,0.0,,0.29,0.15,20.2,0.0,0.0,0.08,0.0,0.0,0.02,0.2,0.04,0.0,https://www.allbud.com/marijuana-strains/hybrid/mango-haze,"['Earthy', 'Mango', 'Sweet']","['Citrus', 'Fruity', 'Sweet', 'Tropical']","['Cerebral', 'Energizing', 'Euphoria', 'Focus', 'Happy', 'Relaxing', 'Uplifting']"
,Blue Zkittlez,"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.028,0.0,0.0,0.0,0.016,0.276,0.0,0.044,0.5670000000000001,,0.108,0.037000000000000005,0.0,0.0,,0.26,0.11,12.49,0.01,0.0,0.08,0.0,0.0,0.0,0.18,0.03,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/blue-zkittlez,"['Berry', 'Diesel', 'Earthy', 'Flowery', 'Fruity']","['Berry', 'Citrus', 'Herbal', 'Sweet']","['Aroused', 'Creative', 'Happy', 'Relaxing', 'Sleepy']"
,LA Confidential,"Concentrate, Inhalable",,,,,,0.0,0.029,0.188,0.0,0.0,0.112,0.0,0.102,0.033,0.058,0.256,0.468,0.21,0.0,1.5219999999999998,0.256,,0.269,0.773,0.0,0.0,,2.69,0.0,71.78,0.0,0.0,0.16,0.0,0.0,0.0,1.73,0.25,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/la-confidential,"['Earthy', 'Pine', 'Pungent', 'Skunky', 'Spicy']","['Pine', 'Skunky', 'Sweet']","['Euphoria', 'Happy', 'Relaxing']"
,Laughing Buddha,"Flower, Inhalable",,,,,,0.0,0.023,0.0,0.0,0.006,0.0,0.0,0.057,0.0,0.016,0.0,0.136,0.055,0.0,0.46,0.319,,0.09,0.573,0.0,0.0,,0.76,0.0,26.38,0.0,0.0,0.07,0.0,0.0,0.0,0.68,0.11,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/laughing-buddha,['Sweet'],"['Citrus', 'Herbal', 'Lemon', 'Pineapple', 'Spicy', 'Sweet']","['Creative', 'Energizing', 'Euphoria', 'Giggly', 'Happy']"
,Blackjack,"Flower, Inhalable",,,,,,0.024,0.0,0.0,0.0,0.005,0.0,0.0,0.012,0.258,0.321,0.0,0.054000000000000006,0.037000000000000005,0.016,0.129,0.194,,0.047,0.066,0.013,0.0,,0.58,0.0,16.16,0.0,0.0,0.07,0.0,0.0,0.0,0.89,0.07,0.02,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/blackjack,"['Earthy', 'Lemon', 'Pine', 'Pungent', 'Skunky', 'Spicy']","['Herbal', 'Lemon', 'Spicy', 'Woody']","['Creative', 'Happy']"
,Grape Calyx,"Flower, Inhalable",,,,,,0.0,0.019,0.0,0.004,0.0,0.0,0.0,0.069,0.035,0.011,0.0,0.045,0.265,0.0,0.133,0.386,,0.069,0.071,0.0,0.0,,0.64,0.0,21.86,0.0,0.0,0.06,0.0,0.0,0.0,0.48,0.17,0.03,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/grape-calyx,"['Citrus', 'Earthy', 'Grape', 'Musky', 'Spicy']","['Berry', 'Grape', 'Lemon', 'Spicy', 'Sweet', 'Tropical']","['Creative', 'Euphoria', 'Happy', 'Hungry', 'Relaxing']"
,Pennywise,"CBD, Flower, Inhalable",,,,,,0.005,0.005,0.009000000000000001,0.0,0.0,0.078,0.004,0.026,0.0,0.147,0.04,0.059,0.26,0.003,0.193,0.982,,0.125,0.128,0.003,0.0,,1.55,0.0,13.99,0.0,0.0,1.56,0.06,0.0,0.0,0.74,0.08,0.03,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/pennywise,"['Coffee', 'Herbal', 'Pepper', 'Spicy', 'Sweet', 'Woody']","['Bubble Gum', 'Coffee', 'Herbal', 'Lemon', 'Spicy', 'Sweet', 'Woody']","['Euphoria', 'Focus', 'Happy', 'Relaxing', 'Sleepy']"
,Wedding Cake,"Flower, Inhalable",,,,,,0.0,0.008,0.002,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.022,0.053,0.455,0.0,0.205,0.7190000000000001,,0.211,0.142,0.0,0.0,,0.51,0.0,18.49,0.0,0.0,0.06,0.0,0.0,0.0,0.35,0.06,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/wedding-cake,['Sweet'],"['Berry', 'Fruity', 'Sweet']","['Creative', 'Euphoria', 'Relaxing', 'Sleepy']"
,Nubia,"Hybrid, Flower, Inhalable",,,,,,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.044,0.238,0.0,0.12,1.002,,0.084,0.093,0.0,0.0,,0.45,0.0,0.19,0.0,0.0,11.89,4.74,0.15,0.43,0.34,0.16,0.3,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/nubia,"['Earthy', 'Floral', 'Herbal', 'Spicy', 'Sweet']","['Flowery', 'Herbal', 'Spicy', 'Sweet']","['Euphoria', 'Happy', 'Relaxing', 'Uplifting']"
,Great White Shark-517,"Concentrate, Inhalable",,,,,,0.0,0.011,0.039,0.15,0.0,0.008,0.0,0.066,0.0,0.0,0.426,0.424,0.6920000000000001,0.0,0.993,1.135,,0.229,0.307,0.0,0.0,,61.34,0.14,10.01,0.0,0.85,0.15,0.16,0.0,0.0,0.0,0.7,1.02,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/great-white-shark,"['Citrus', 'Earthy', 'Fruity', 'Pungent', 'Skunky', 'Sweet']","['Citrus', 'Skunky', 'Sweet']","['Creative', 'Energizing', 'Euphoria', 'Happy', 'Uplifting']"
,Blue Cookies,"Flower, Inhalable",,,,,,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.166,0.05,0.0,0.451,0.341,,0.083,0.545,0.0,0.0,,0.54,0.0,27.97,0.0,0.0,0.07,0.0,0.0,0.0,1.5,0.07,0.01,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/blue-cookies,['Sweet'],"['Berry', 'Blueberry', 'Candy', 'Orange', 'Sweet']","['Body High', 'Cerebral', 'Euphoria', 'Happy', 'Hungry']"
,Critical - Dosidos BHO,"Concentrate, Inhalable",,,,,,0.0,0.022,0.044,0.0,0.0,0.003,0.0,0.527,0.0,0.01,0.125,0.227,0.08900000000000001,0.0,0.769,0.105,,0.129,0.405,0.004,0.0,,4.34,0.0,76.91,0.0,0.0,0.25,0.0,0.0,0.0,0.79,0.36,0.08,https://www.allbud.com/marijuana-strains/hybrid/critical,"['Citrus', 'Pine', 'Pungent', 'Woody']","['Citrus', 'Pine']","['Creative', 'Happy', 'Relaxing', 'Uplifting']"
,Sherbet,"Concentrate, Inhalable",,,,,,0.0,0.009000000000000001,0.029,0.0,0.005,0.0,0.0,0.205,0.0,0.0,0.131,0.364,0.033,0.0,0.917,0.051,,0.061,0.104,0.0,0.0,,1.65,0.0,56.36,0.0,0.0,0.21,0.0,0.0,0.0,0.77,0.27,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/sherbet,"['Fruity', 'Sweet']","['Creamy', 'Fruity', 'Sweet', 'Tangy']","['Happy', 'Relaxing']"
,Purple Frost - Schamell #9,"Flower, Inhalable",,,,,,0.033,0.003,0.005,0.004,0.001,0.0,0.0,0.018000000000000002,0.011,0.867,0.073,0.121,0.07,0.027000000000000003,0.343,0.7,,0.117,0.249,0.014,0.0,,0.76,,21.69,0.0,0.0,0.08,0.0,0.0,0.02,0.19,0.08,0.01,https://www.allbud.com/marijuana-strains/hybrid/purple-frost,['Fruity'],['Fruity'],['Body High']
,Purple Trainwreck,"Flower, Inhalable",,,,,,0.026,0.003,0.006999999999999999,0.006,0.004,0.005,0.004,0.069,0.006,0.618,0.165,0.132,0.055,0.02,0.348,0.342,,0.099,0.174,0.011,0.001,,0.49,0.0,20.38,0.0,0.0,0.05,0.0,0.0,0.0,0.79,0.08,0.0,https://www.allbud.com/marijuana-strains/hybrid/purple-trainwreck,"['Earthy', 'Grape', 'Lemon', 'Pungent', 'Sweet']","['Berry', 'Citrus', 'Grape', 'Sweet']","['Creative', 'Energizing', 'Euphoria', 'Focus', 'Happy', 'Relaxing', 'Uplifting']"
,Appalachia,"Flower, Inhalable",,,,,,0.0,0.006,0.01,0.0,0.002,0.017,0.0,0.123,0.001,0.005,0.086,0.233,0.024,0.0,0.773,0.173,,0.041,0.272,0.0,0.0,,2.23,0.0,21.24,0.0,0.0,0.1,0.0,0.0,0.0,0.65,0.06,0.05,https://www.allbud.com/marijuana-strains/hybrid/appalachia,"['Citrus', 'Earthy', 'Lemon', 'Pine', 'Skunky']","['Citrus', 'Lemon', 'Nutty', 'Pine', 'Skunky', 'Woody']","['Energizing', 'Euphoria', 'Happy', 'Hungry', 'Relaxing', 'Sociable', 'Uplifting']"
,Sour Headband,"Flower, Inhalable",,,,,,0.0,0.01,0.005,0.0,0.001,0.001,0.0,0.121,0.001,0.006,0.116,0.181,0.038,0.0,0.468,0.415,,0.076,0.461,0.0,0.0,,0.58,0.0,23.77,0.0,0.0,0.08,0.0,0.0,0.0,0.5,0.13,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/sour-headband,"['Chemical', 'Dank', 'Diesel', 'Earthy', 'Sour']","['Chemical', 'Citrus', 'Diesel', 'Sour', 'Sweet']","['Aroused', 'Creative', 'Energizing', 'Euphoria', 'Relaxing', 'Uplifting']"
,Synergy- Strawnana,"Concentrate, Inhalable",,,,,,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.023,0.11,0.024,0.0,0.382,0.073,,0.065,0.645,0.0,0.0,,1.71,0.0,84.43,0.0,0.0,0.22,0.0,0.0,0.0,1.55,0.49,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/synergy,"['Earthy', 'Skunky', 'Sweet']","['Fruity', 'Pineapple', 'Sugary', 'Sweet']","['Giggly', 'Uplifting']"
