Test Result UID,Sample Name,Sample Type,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,URL
,Blue Frost (ID-hyb),"Flower, Inhalable",,,,,,0.0,0.008,0.013999999999999999,0.0,0.0,0.006999999999999999,0.0,0.096,0.0,0.006,0.046,0.154,0.299,0.0,0.396,0.877,,0.161,0.187,0.0,0.0,,0.64,0.0,20.09,0.01,0.0,0.05,0.0,0.0,0.0,0.67,0.09,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/blue-frost
,Lemon Tree (ID-hyb),"Flower, Inhalable",,,,,,0.0,0.006999999999999999,0.009000000000000001,0.0,0.032,0.011000000000000001,0.004,0.19,0.156,0.009000000000000001,0.11800000000000001,0.1,0.266,0.0,0.308,1.072,,0.11199999999999999,0.24100000000000002,0.0,0.0,,1.26,0.0,16.37,0.02,0.0,0.04,0.0,0.0,0.0,0.43,0.08,0.0,https://www.allbud.com/marijuana-strains/hybrid/lemon-tree
,Chiquita Banana (ID-hyb),"Flower, Inhalable",,,,,,0.0,0.013999999999999999,0.008,0.0,0.0,0.0,0.0,0.024,0.187,0.365,0.009000000000000001,0.096,0.111,0.0,0.298,0.618,,0.145,0.701,0.0,0.0,,1.2,0.0,29.72,0.01,0.0,0.07,0.0,0.0,0.0,0.53,0.26,0.03,https://www.allbud.com/marijuana-strains/hybrid/chiquita-banana
,Banana Kush (ID-hyb),"Flower, Inhalable",,,,,,0.0,0.024,0.0,0.0,0.002,0.002,0.0,0.02,0.027000000000000003,0.028999999999999998,0.004,0.12300000000000001,0.203,0.0,0.40399999999999997,0.172,,0.2,0.604,0.0,0.0,,0.42,0.0,27.15,0.0,0.0,0.06,0.0,0.0,0.0,0.4,0.34,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/banana-kush
,Super Silver Haze (ID-hyb),"Flower, Inhalable",,,,,,0.0,0.003,0.005,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.006,0.086,0.025,0.0,0.298,1.383,,0.057999999999999996,0.209,0.0,0.0,,0.51,0.02,25.08,0.01,0.0,0.07,0.0,0.0,0.0,0.68,0.16,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/super-silver-haze
,Girl Scout Cookies (ID-hyb),"Flower, Inhalable",,,,,,0.0,0.0,0.013999999999999999,0.0,0.0,0.004,0.0,0.196,0.0,0.008,0.045,0.301,0.025,0.0,0.7559999999999999,0.28,,0.046,0.272,0.0,0.0,,0.48,0.0,21.76,0.01,0.0,0.08,0.0,0.0,0.0,1.05,0.09,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/girl-scout-cookies
,Gorilla Glue (52976),"Flower, Inhalable",,,,,,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.039,0.0,0.0,0.047,0.165,0.019,0.0,0.565,0.136,,0.037000000000000005,0.295,0.0,0.0,,0.55,0.04,22.17,0.02,0.0,0.08,0.0,0.0,0.03,0.77,0.05,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/gorilla-glue
,Dutch Treat (52963),"Flower, Inhalable",,,,,,0.013000000000000001,0.0,0.0,0.0,0.0,0.048,0.0,0.012,0.054000000000000006,0.42,0.0,0.038,0.027999999999999997,0.001,0.107,0.172,,0.049,0.043,0.0,0.0,,0.61,0.05,19.8,0.04,0.0,0.1,0.0,0.0,0.02,0.73,0.14,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/dutch-treat
,Pineapple Thai,"Flower, Inhalable",,,,,,0.0,0.004,0.04,0.0,0.001,0.002,0.0,0.035,0.423,0.001,0.015,0.278,0.163,0.0,0.721,2.151,,0.077,0.07400000000000001,0.0,0.0,,0.67,0.03,15.74,0.01,0.0,0.06,0.0,0.0,0.0,0.35,0.04,0.04,https://www.allbud.com/marijuana-strains/sativa/pineapple-thai
,Hash Berry,"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.004,0.0,0.039,0.0,0.018000000000000002,0.223,0.0,0.046,0.063,0.042,0.0,0.17,1.187,,0.013999999999999999,0.006999999999999999,0.0,0.0,,1.23,0.0,16.82,0.04,0.0,0.06,0.0,0.0,0.0,0.85,0.07,0.04,https://www.allbud.com/marijuana-strains/hybrid/hash-berry
